input_text,target_expl,generated_expl
"at a grocery store they sell individual potatoes, where does the grocery clerk likely put the potato?, paper bag, underground, or boiling water? commonsense says",i consider it the best option because they have to be more true,a grocery store is the only place that would have a potato
"when you slip from a ladder propped on anything what will you do?, matter to, fall down, or whatever? commonsense says",in sometimes slip from a ladder propped,"if you are climbing a ladder, you are most likely to get off."
"many towns and cities have trash cans where on sidewalks?, motel, corner, or office? commonsense says","many of our neighbors have begun leaving their containers right by their front... however, the cans are city ( public ) property and when they sit on the curb",the street is the only place where there are more roses
"james's nice asked him about her grandfather. she was interested in learning about what?, brother's house, family reunion, or family tree? commonsense says",family tree is the only answer that can be learned about when someone is asking about a relative.,the family tree is the only option that is based on events that relate to the family tree.
"where has the newest baseball stadium?, chicago, urban areas, or phoenix? commonsense says",phoenix is the newest baseball stadium,urban areas have a larger population to drive ticket sales
"if a person is trying to keep something in their hand what should they do?, complete collection, have to hold, or procrastinate? commonsense says","to hold someone or something using your hands, arms, or body and take them... to hold something tightly or carefully so that you do not drop it or do not fal",the other options are things that would be used to hold something.
"where would you put nails if they are already packaged?, cabinet, store, or container? commonsense says",is the best since it is the best backup,they wouldn't store things in a container or container
"what is it called when you are talking to someone?, learn, communication, or persuaded? commonsense says",i consider it the best option because they have to be more true,persuade is the only way to convince someone to go to a radio station
"if i want to behave with proper aplomb, what manners should i avoid?, incomplete, inappropriate, or incorrect? commonsense says",behavior is often termed inappropriate but never incomplete and rarely incorrect.,the appropriate answer is reasonable
"where would you find a monkey in the wild?, captivity, thailand, or barrel? commonsense says",a monkey in the wild would most likely be found in thailand.,the wild monkey is found in the wild.
"if there is gum on your shoe where did it likely come from?, sidewalk, movies, or water fountain? commonsense says","a sidewalk ( american english ) or pavement ( british english ), also known as a footpath or footway, is a path along the side of a road. a sidewalk may",the gumboose is the only one that can be found on the ground because it can be seen on the ground.
"why do young people swallow semen?, prostitute, you're into, or you're curious? commonsense says","i'm not doing this one, sorry. who does these for you?? seriouly. email me and i'll hook you up with much better turkers.","the girl was already pregnant, so shelved it."
"where would a person live if they wanted no neighbors?, suburbs, woods, or neighborhood? commonsense says","when one lives in the woods, one does not typically have immediate neighbors",a neighborhood is the only place where someone would be able to find a few small dog in an area.
"what does a successful dog grooming session likely to make a owner feel?, cleanliness, satisfaction, or mistakes? commonsense says",dog grooming session is satisfied,grooming oneself makes you feel better about the day.
"why would you take a bus to work?, go home, commute, or get somewhere? commonsense says",commute is a term used when someone is traveling to or from work.,"you go to a work place, not a place to go to."
"billy saw a dog running from him and did his best to get away from it. the leaped up to where the dog couldn't reach and was stuck. where might he have been trapped?, table, backyard, or park? commonsense says",table running from him and did his best to get away from,you would not go into a house or a tree if you were in a house.
"where can i find a stapler in many places?, desk drawer, office building, or desktop? commonsense says",many places? visited,offices contain many items that could be stored in a desk
"a family was travelling across the country, they stopped to stretch their legs and check out the vending machines at a designated what?, rest area, airport, or bus depot? commonsense says",rest area family was travelling across the country,a bus stop is the only option that would serve passengers to travel to.
"what is a person called who doesn't have immortality?, mortal, dying, or dead? commonsense says",if you are immortal you cant die,the closest and most accurate option
"he did not dignify his bullies with a response, they were only hoping to do what to him in front of others?, shame, demean, or humiliate? commonsense says",humiliate did not dignify his bullies with a response,embarrassment is a negative thing you do when you are around others.
"the child didn't know the problems his mother was going through, all he had was what for her?, balloon, learn, or loved? commonsense says",child didn't know the problems loved by mother,children love the child so they have no choice but to do what she had.
"james was someone who was caught in his own delusions. to him, the truth didn't do what what?, matter to, free mind, or further knowledge? commonsense says",james was matter to who was caught in his own delusions. to him,"to know the truth, one must think to truthful."
"where can you get a lizard to keep in your home?, tropical areas, desert country, or pet shop? commonsense says",pet shop have more pets for sale,a pet shop is the only place a lizard can be kept.
"the man working in the attic swatted away a bee, but soon the single bee was an entire what?, soft drink, swarm, or countryside? commonsense says",a swarm is the only reasonable answer to a bee,the only place that might have
"how can someone be let into a brownstone?, ring, subdivision, or new york city? commonsense says",a ring let into a brownstone,i consider it the best option because they have to be more true
"the audience cheered when a goal was scored, what were they spectating?, school, concert hall, or sporting event? commonsense says",is the best option in all,a stadium is the only place that people would be competing with each other.
"a weasel has a thin body and short legs to easier burrow after prey in a what?, viking ship, mulberry bush, or rabbit warren? commonsense says",a densely populated or labyrinthine building or district.,a weasel is a bird that is not able to climb.
"the poker dealer spread the flop of cards across the what?, casino, table, or toy store? commonsense says",cards are placed on a table,the boardroom is the only place where you can bet.
"they had a theory of what they could do in t he big game, so over and over they would what?, practise, practice, or practical? commonsense says",practice theory of what they could do in t he big game,"the idea that something can happen is possible, one can't do with a mathematical way"
"of all the sports, billy enjoys football, but what does his concerned mother think of the sport?, violent, competitive, or fun? commonsense says",sports can be violent.,soccer is the only choice that involves personal injury.
"colorful anemone look somewhat like what object you find on window sills?, florida keys, flower bed, or coral sea? commonsense says",is the best since it is the best backup,florida keys is the only place that is on the ocean.
"what does someone typically feel when applying for a job?, increased workload, anxiety and fear, or being employed? commonsense says",i consider it the best option because they have to be more true,employers can be more likely to feel pressure or get a job done.
"they were kissing each other good bye, they had no worries because their relationship had a strong foundation of what?, trust, cooperation, or partner? commonsense says","you usually kiss someone you trust, who might be your partner. "" cooperation "" doesnt make sense",they have internal instincts
"where might a lemur frolic in the market?, rain forest, hole, or india? commonsense says",india might a lemur frolic in the market?,a lemur is found in the amazon basin.
"if you cant control your spending when going to the market, you might have an issue with?, arriving at desination, carrying bags, or impulse buying? commonsense says",if you cant control your impulse buying when going to the market,"when you make money, you can get the stuff you want to buy, unlike the other options."
"his parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?, entertain, meet interesting people, or listen to music? commonsense says",listen to music parents thought he was suffering from boredom,entertainment is the only thing that people would like to do
"joe owned back taxes as well as what other type of taxes?, anterior, current, or main? commonsense says",joe owned the current tax.,the only thing that is personal is taxes.
"where are traveling clothes often kept?, dresser, suitcase, or closet? commonsense says",cloths of the suitcase,suitcase is a common place to keep a suitcase.
"they were making sauerkraut, the instructor explained the liquid should be above the cabbage in the what?, drinking glass, container, or jar? commonsense says",jar making sauerkraut,a drink will be in a vinegar vessel
"what would not be true about a basketball if it had a hole in it but it did not lose its general shape?, punctured, round, or full of air? commonsense says",what would not be true about a basketball if it had full of air but it did not lose its general shape.,"if a basketball is not punctured, it would be the opposite of the ball being rambled."
"where could you find a toilet that only friends can use?, rest area, apartment, or hospital? commonsense says",apartment is the only place just friends can go,that's the best option since that's where there are more roses
"why is it hard for a young child to read a long book?, many words, cover, or knowledge? commonsense says",that is so hard to get a young child in pregnancy.,books can be found inside books.
"if you're seeking a connection for your laptop, what are you trying to hook up with?, electrical circuit, computer network, or company? commonsense says","demand is equal to desire plus ability to pay plus will to spend.... necessity goods : for certain goods called necessities, demand is not related to income.... since purchase of durables can be postponed or preponed more easily than those of.... there are some commodities which are not necessities / necessary but have.",a network would be the only one that would connect a computer to a computer
"where would you get jeans and other wearable items to take home with you?, laundromat, clothing store, or shopping mall? commonsense says",women's clothing | urban outfitters,clothing is found at the mall.
"you stop and have food all around you, what are you?, stay alive, grew, or full? commonsense says",have food is waste,full is the only answer that makes sense as something full.
"why do people read non fiction?, having fun, falling asleep, or learn new things? commonsense says","win friends and influence people by dale carnegie, etc. etc. reading non - fiction is the best way to improve our skills without actually getting hands - on experience. on the other hand, we read fiction to escape to an imaginative dimension. fiction is used to escape from the real world.",fiction is the only choice that requires reading.
"making a schedule was easy to pick, the major called for knowledge that required a certain what?, class, meeting, or university? commonsense says",in some days road trip and other plans schedule was very easy in house,a college campus is the only thing that a student can take to attend.
"what do airplanes do as they are arriving at the gate?, slow down, speed up, or carry people? commonsense says",slow down airplanes do as they are arriving at the gate?,an airplane has to take passengers in.
"running errands with screaming kids will likely cause what?, stress, efficiency, or aggravation? commonsense says",screaming kids for aggravation,"if you are running late, you will be most likely to be upset by a situation that is a long term."
"he wanted to live somewhere were every yard was uniform in size and landscaping, where should he look for a house?, three feet, michigan, or subdivision? commonsense says",every person is uniform.,a yard is the only thing that could have a yard.
"to get out of there the person had to keep on walking, they had to keep on what?, moving forward, locomotion, or blisters? commonsense says",when they decide to go out he take the step forwarding,the process of aging in humans
"riding a bike for a long time can cause what?, thirst, fatigue, or enjoyment? commonsense says",riding your bike is exercise and exercise will cause fatigue when done for a long time,riding for a long time is very dangerous.
"what instrument can be played with an air of happiness?, fiddle, play games, or sing? commonsense says",a fiddle is the only instrument in the list,fiddle and fiddle are instruments composed of non - musical instruments.
"where are required to carry books all day?, large city, university, or friend's house? commonsense says",we should improve our knowledge we carry books all day in your life.,a university is the only place where you would have to walk a book in.
"where is a lake likely to be glacial?, michigan, mountains, or countryside? commonsense says",mountain is very lovely places,lake is the only option with water
"a loud machine is irritating, but many are expected where?, house, laboratory, or industrial area? commonsense says",chennai industrial area list - grace service apartment,most machines are found in labs
"what happens when driving?, tire wear, wheels turning, or lack of fuel? commonsense says",wheels turning happens when driving?,the tires will wear out after a while.
"what does drinking alcohol lead to?, nausea, intoxication, or vomiting? commonsense says",only explanation after drinking alcohol consistently,"nausea is a form of nausea, one is likely to get into a drink"
"i listened to lecture intensely, what is my goal?, stop talking, concentrate, or pay attention? commonsense says",""" she couldn't concentrate on the film",a lecture is the only thing that requires focus.
"if you have to read a book that is very dry and long you may become what?, enjoyable, bored, or learn new? commonsense says",i consider it the best option because they have to be more true,"if you don't like to read, you become tired."
"who watches a play in an auditorium?, city, crowd, or high school? commonsense says",she goes around with a friendly crowd,plays are a form of theatre in the us
"where does a wild bird usually live?, windowsill, cage, or countryside? commonsense says",birds living in a countryside are called wild,wild birds live in the open area
"what is it called when someone gives you answers that aren't ridiculous?, straightforward, somber, or serious? commonsense says","one can hardly answer this question properly without knowing why the... not stupid, but needs everything explained many times... you might... the only single word i can think of to get close to this would be.... be used in a sentence to describe someone who you told something to","they are not likely to get what they want, what do they do"
"james told his son to settle down and be careful. there were many frogs mating in the area, and james didn't want his son to do what to them?, agitate, wander, or disturb? commonsense says","disturb were many frogs mating in the area, james told his son to settle down and be careful.",the frog is a bird that can only live in the woods.
"john is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles. what is the function of the place he is most likely at?, public building, public place, or race track? commonsense says",race track john is sitting in a toilet stall in a bathroom,public place is the only place that a public place would have a public place.
"what will happen if you inject water into yourself?, take several forms, thin blood, or move mountains? commonsense says",polycythemia is a condition that causes blood,you can only take blood into a vein without taking it.
"what could you use to get to some airplanes?, stall, crash, or taxi? commonsense says",taxi could you use to get to some airplanes,planes that are flying only go to a plane.
"what attraction is sometimes so large that you need a map to find your way around?, truck stop, amusement park, or classroom? commonsense says",amusement park attraction is sometimes so large that you need a map to find your way around,a toy store is the only place you would find a ride along.
"the lion sensed his competitor was timid, so what attitude did the lion take?, reckless, dauntless, or aggressive? commonsense says",""" he's very uncooperative and aggressive """,the decision to challenge a horse is a direct result of being a strong animal.
"a thoroughfare meandered through fields and woods, where was it passing though?, country, town, or city? commonsense says",the country only have those large fields and woods.,countryside is the only place where you would find a common street where a farmer would take the road here
"what city will likely have many parking structures?, big city, chicago, or college campus? commonsense says",chicago city is very likely to parking structures.,"a big city has a lot of people, so the most likely choice is chicago."
"where can you find a restaurant's phone number?, business sector, at hotel, or yellow pages? commonsense says",we search a yellow pages in find the restaurants phone number,restaurants are the only place that is likely to have a phone
"before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?, fitness center, country club, or park? commonsense says",squash courts are usually only found in fitness centers,golf courses is the only place you can play with a back court.
"brad tried to arise from bed but he could not. instead, he just continued to do what?, lie down, fall down, or sit down? commonsense says",is the best option in all,sitting down is the only option that is done while being down.
"what is a prisoner sentenced to do?, dream of freedom, attempt to escape, or do time? commonsense says",do time is a prisoner sentenced,prisoner is a prisoner and therefore must apply to the law of war.
"james know that committing murder was wrong, but he thought that he could get away with it. he was really troubled and fearful because of what?, prosecution, misery, or distress? commonsense says",""" the bbc's prosecution of its commercial ends """,anxiety is the only thing that could lead to sarah
"where do you find the most amount of leafs?, forrest, floral arrangement, or compost pile? commonsense says",like an floral arrangement,a forest is the only place where a leaf is found.
"what should everyone do who doesn't want to fight anymore?, do well, wear shoes, or hope for peace? commonsense says",what should everyone do hope for peace want to fight anymore?,"people do not want to fight, so they do not want to fight."
"jack was going to a party for a high school reunion, what did he look to do?, drinking alcohol, meeting people, or visit friends? commonsense says",visit friends in high school reunion,a college campus is the only place that would have friends.
"what does everyone feel of monsters?, different, good at, or afraid of? commonsense says","when seeing monsters, peoples are afraid",they have internal instincts
"the fresh herbs, flowers, and vegetables will shrivel up if people don't do this?, water plants, raise children, or speaking english? commonsense says","fresh herbs neither raise children nor speak english, so "" water plants "" makes the most sense.",plants that are cut off live and can be eaten.
"what will likely happen after stabbing to death a person?, gruesome, being arrested, or pool of blood? commonsense says",stabbing to death a person being arrested,stab wounds results in blood leaving the body after the stabbing.
"seafood restaurants are used to draw tourists where?, boston, coastal cities, or maine? commonsense says",seafood restaurants was in coastal cities,the other two options are not places people go to get fish
"the man often made smart remarks, like that any restaurant is a mexican restaurant where?, city, san diego, or mexico? commonsense says",does not make sense. bad question,mexico is the only country in the list that is not a city.
"computers have allowed everybody to answer questions they have quickly, but still we seem to be getting duller despite access to this what?, follow instructions, produce sound, or advance knowledge? commonsense says",computers help advance knowledge by giving faster information,"when you have an idea, you tend to listen to the information"
"if you have a large satchel with you when you fly you'll be asked to store it where?, room, clothing store, or luggage compartment? commonsense says",luggage compartment in the satchel,a suitcase is the only place that is large enough to carry a large amount of clothes.
"the player lifted his cornet and walked in rhythm, what was the player a member of?, high school band, marching band, or museum? commonsense says",the storng of marching band,marching band is the only place that plays the bass
"what do professors primarily do?, state facts, school students, or teach courses? commonsense says",professors educate students and teach courses,students are expected to be taught about facts.
"the cat carefully navigated the area, they do everything they can to avoid what?, eat vegetables, wool sweater, or get wet? commonsense says","“ possibilities are in your favor, the cat does have a minimal threat to the mission. ” “ and how do you... the ship's databanks. troubles, the cat carefully navigated...",a cat will often find food in the woods.
"where could you find hundreds of beauty salon?, city, clerk, or neighborhood? commonsense says",ities have many buildings,"a small town could contain many homes, but neither a city or a city could contain such many stores."
"the tiger was stuck in what animal prison where he got lazy and fat?, jungle, india, or zoo? commonsense says",in zoo tiger was stuck in animal prison where he got lazy and fat,"sloth is a human being, they are found to work hard and not do anything"
"what might a couple have a lot of when they are deciding on stopping being married to each other?, bankruptcy, fights, or detachment? commonsense says",ultimate fighting championship fight schedule 2019 - mma fighting,divorce is the only thing that happens when you are having sex.
"where would stones not be arranged in a path?, park, field, or bridge? commonsense says",stones not be arranged in field,a path is usually the only path that is not suitable for a park.
"she wanted to get in shape, but she couldn't stay focused on the hour long what?, excercise, work out, or swim? commonsense says",when we do work out daily we can get good shape.,working hard is the only option that would help you to get to work.
"what must someone do before they shop?, go to market, have money, or get money? commonsense says",to buy the items you want.,you must shop before you go to shop.
"what can happen if you are buying products that someone else does not want you to buy?, agony, owning, or disagreements? commonsense says",agony or owning usually doesn't come with someone not wanting you to buy something but you did anyway,buying products is the only option that would result in buying or not buying something.
"they passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?, indiana, new jersey, or maryland? commonsense says",indiana passed a apple tree on their way,there are different types of racing at the race track
"flowers make a good center focal point, just one of many arrangements that look good on a what?, table, vase, or countryside? commonsense says",table flowers make a good center focal point,an art show is the only place that is not likely to have tables that are round.
"what is a wet person likely to do?, thank god, cross street, or catch cold? commonsense says",i am a wet person in my whole days.,wet water is most likely to get you wet.
"the teacher thought that a ferret can be very mischievous and probably wouldn't make a great pet for the entire what?, pair of trousers, classroom, or bad mood? commonsense says",teachers work in school classrooms.,a teacher would be instructing the children in a bad way.
"this is an unavoidable physiological consequence of running. what is it?, breathlessness, increased heart rate, or calluses? commonsense says","when one runs, it is exercise, and when one exercises, heart rate will increase",running is the only option that would be beneficial to the body.
"who do professors work with?, school students, state facts, or teach courses? commonsense says","professor ( commonly abbreviated as prof. ) is an academic rank at universities and other... however, such "" professors "" usually do not undertake academic work for the granting institution. in general, the title of professor is strictly used for",students attend schools
"where do most people make coffee?, table, office, or kitchen? commonsense says",kitchen most people make coffee?,"you do not make coffee in a kitchen or kitchen cabinet, but in the kitchen, you would find it unheafying."
"most people make stupid assumptions that are based on their prejudices. what might they do instead to achieve better outcomes?, read books, lie, or think? commonsense says",most people make stupid assumtions that are based on their prejudices. they do think instead to achieve better outcomes,"to not have the ability to judge things, you can only assume that you are not a liar."
"after killing people, the murderer went to church after feeling what?, retaliation, anguish, or remorse? commonsense says",the remorse happens only after such a cruel activity.,"when someone is killed, they would feel remorse over killing someone."
"where do play a game for money?, toy store, casino, or family room? commonsense says",get more money play a game casino for money,a game is the only option where you can bet with someone.
"if a person stutters when he experiences anxiety or excitement, he'll have difficult doing what?, dance, go somewhere, or express information? commonsense says",one who stutters can't express information.,people are often nervous when they are nervous.
"what happens when to ice when it is in the sun?, carved, sculptured, or melted? commonsense says",melted happens when to ice,ice cream is used in the winter
"why are dogs often known as man's best friend?, very smart, very loyal, or friendly? commonsense says","dogs are most often noted for how loyal they are over everything else, like the other two choices.",dogs are known as good dogs because they are loyal.
"if you partied all night you could find yourself already what, even when just beginning work?, getting tired, sitting down, or procrastination? commonsense says",when all night parties getting tired self.,procrastination is the only action that would happen when the one one is asleep.
"where is a likely place for an ivy plant?, flower pot, outside, or windowsill? commonsense says",i consider it the best option because they have to be more true,"an indoor plant is a plant that is grown outside, and not outside."
"the man walked in through the terrace from work, what did he walk in to?, house, michigan, or architecture? commonsense says",people usually go home after work.,the front door is located inside the house and enters the city.
"john slept on the stone plains. he thought that it was very what?, warm, soft, or passionate? commonsense says",the stone plains are warm.,the only place that might have
"during a shark filled tornado where should you not be?, bad movie, outside, or marine museum? commonsense says","jul 12, 2013 - syfy's "" sharknado "" was everything we dreamed it would be, and here's... no. kind of. the big storm brings all the sharks to the shore, still in the",the shark was in the movie
"what is the hopeful result of going to see a play?, being entertained, meet, or sit? commonsense says","feb 12, 2018 - as a state, we grapple with many issues. some are very complex with no easy fix or single solution. these may require sustained effort over",perform is a form of entertainment.
"his compressor needed a new hose, where did he go?, hardware store, garage, or garden shed? commonsense says",hard ware stores sell compressors and parts as they are tools,a hose is used to move furniture to other locations.
"the dad wanted to protect his house, where did he put his gun?, police station, holster, or drawer? commonsense says",things are protected when kept in a drawer,the police keep their guns in their house
"because john was first violin, he had to bring something important to work ever day. what did he need to bring to work?, violin case, symphony orchestra, or music store? commonsense says","available in 3 colours, for oblong violin case",because he wants a violin in his possession
"if you wanted to show off silk, what item could it be on?, expensive clothing, parachutes, or mulberry tree? commonsense says",silk will be much expensive when compared to others clothes,silk is found in the top and most of the time of the wear of clothes
"what could an apple tree do?, new hampshire, sunshine, or bloom? commonsense says",apple tree is an bloom,apple is a good fruit and it is my favourite
"they were searching for rocks, so they missed the birds overhead as they stared at the what?, waterfall, ground, or surface of earth? commonsense says",meteorites are rocks which fall to earth from space,rocks are usually the only place that birds can see rocks.
"if a reception is held with hotel guests walking by, what is the likely venue?, country club, large room, or lobby? commonsense says",the term check - out generally refers to the departure of guest from a hotel. this process starts from settling the bill and dispatching the luggage which task is done by the bell boy. some hotel provides express check - out to guests by its club floor,a hotel lobby is a good place to stay.
"where does a person sell drugs?, street corner, fairy tale, or space shuttle? commonsense says",drugs sells in street corner not in fairy tale space shuttle,drugstore is the only place where you can sell a lantern.
"what do you want someone to do when you illustrate point?, understanding, understood, or did not understand? commonsense says","understanding synonyms, understanding antonyms",only reason to illustrate something is to be displayed in a way that you can illustrate it.
"james saw a kite flying in the sky. he traced the string back to its origin and found it. where did the string begin?, child's hand, toy store, or end of line? commonsense says",a child's hand is the only place the string could have started,"if you are kites, you can't go somewhere with a kite anymore."
"when drinking booze what can you do to stay busy?, reach tentative agreement, stay in bed, or examine thing? commonsense says",examine means to look at something very closely and usually with the purpose of making a judgment.,the only thing that you do is drink and being healthy.
"the teacher doesn't tolerate noise during a test in their what?, movie theatre, bowling alley, or classroom? commonsense says",test will be conducted in classroom,a classroom is the only place where a teacher can hear while playing.
"what is the result of applying for job?, being employed, increased workload, or anxiety and fear? commonsense says",applying for job results being employed,a job is usually the only choice that a person who is currently applying for a job.
"the program kept getting errors, the amateur end user began to what?, debug, get frustrated, or write code? commonsense says",feeling annoyed or less confident because you cannot achieve what you want,i consider it the best option because they have to be more true
"though there are more states below it, tennessee is still part of the aptly named what?, south, kentucky, or united states? commonsense says","under the aca, medicaid eligibility is extended to nearly all low - income... medicaid eligibility for adults in states that did not expand their programs is.... even though women are more likely than men to qualify for medicaid in...",kentucky is a state in the southeastern region of the united states. the lower body of the question is the largest and the lower body of the state.
"what do you ask a child to do when you first meet her?, state name, count to ten, or dress herself? commonsense says",one usually introduces themselves and asks who someone is when meeting for the first time,you must have sex to show the person in the question
"where would you find a basement that can be accessed with an elevator?, own house, office building, or church? commonsense says","you can expect many floors in an office building, hence, elevator is needed.","an office building has multiple floors, and while a house can be found, a lobby is only available."
"nature can be good and bad for the person who walks, what are some things?, see beautiful views, get wet, or seeing bear? commonsense says",is the best since it is the best backup,animals are known for their ability to see through nature.
"the kids didn't clean up after they had done what?, play games, learn things, or play with toys? commonsense says",kids didn't clean up after in this play ground,"when you clean yourself, you don't need to clean the room."
"where would you get a pen if you do not have one?, briefcase, friend's house, or desk drawer? commonsense says",friends may let you have a pen.,a drawer is the only place to store a pen.
"if the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?, farmhouse, floor, or warm place? commonsense says",farmhous in the mother kitten,a mouse would need a warm place to sleep
"where is a human likely to go as a result of being hungry?, eat in restaurant, cook dinner, or have lunch? commonsense says",a human likely to go as a result of being hungry eat in restaurant.,"if you are hungry, you would want to eat a meal from a restaurant"
"john didn't mind getting in line. it was what game after that he hated. the time, the sore feet. he did not like doing what?, being ordered, standing in line, or less confusion? commonsense says",standing in line takes time.,"if you are not doing something right, you are getting angry."
"if you have leftover cake, where would you put it?, refrigerator, bakery, or oven? commonsense says",to keep it fit for eating later,a cake is a staple item that is not used to make bread.
"if a house has a subscription, what likely shows up in the driveway every morning?, newspaper, subdivision, or street? commonsense says",you can only subscribe to a newspaper.,i consider it the best option because they have to be more true
"where would someone purchase an upright piano?, music class, music store, or music room? commonsense says",i like in a music store,music store is where you can buy instruments
"where do alcoholics go to get their fix?, fraternity house, liquor store, or bar? commonsense says",more peoples was going to bar,they get the stuff in a juicer
"how is a person likely to communicatewith others?, meet friends, die of cancer, or say words? commonsense says",speaking with other or say words,communication is the only way to communicate with someone
"where would you find some potted plants that are exposed to rain?, porch, windowsill, or roof? commonsense says",the structure forming the upper covering of a building or vehicle.,"the porch is covered in a porch, so it is the only thing outside."
"where would you find a large dining room containing a fancy chandelier?, restaurant, own home, or mansion? commonsense says",their departments will likely have them paired with veteran officers until... a police officer's duties vary by the type of law enforcement agency.,you have a beautiful dinner at the opera
"when you see something rise, you are where in relation to it?, lower, below, or sun set? commonsense says",rising things come from below and move upwards. this is the onlyoption that makes sense,the only thing that is above the sun.
"the fact that joe was able to memorize the list in spite of his apparent state proved that part of his brain was what?, awake, repeat, or concentrate? commonsense says",awake | meaning in the cambridge english dictionary,the mental state of concentrating is correct.
"in what country are the most fast food restaurants?, america, big cities, or new york? commonsense says",america is a country.,the only country mentioned is america.
"what is a tactic used to interfere with learning about science?, intimidation, sense of wonder, or increased knowledge? commonsense says",because other options talk about wonder and knowledge whereas intimidate is about influencing someone for something.,learning is an increase of knowledge.
"there were times where kids wanted to know a definition, so there was a nice big dictionary in the what?, classroom, library, or table? commonsense says",classroomwere times where kids wanted to know a definition answer choices :,only a dictionary would be a type of dictionary.
"where would you need to use a lantern?, antique shop, house, or dark place? commonsense says",a dark place is the only place to use a lantern,an attic is the only place where an attic is usually used to store a lantern.
"what would it be if they get a surprising show over and over?, annoyance, irritated, or might scare? commonsense says",it would be an annoyance to be surprised over and over again.,being annoyed is an important aspect of being annoyed.
"where are you likely to find a hamburger?, pizza, mouth, or fast food restaurant? commonsense says",food restaurant is the only place for bought the hamburger,fast food restaurant is the place to offer a fast food hamburger.
"a traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?, subway, airport, or bus stop? commonsense says",a bus stop is a place where you can get wet,a bus has to travel over the street to catch a bus.
"what might a person be watching if they see a man with a suitcase full of money?, baggage compartment, cargo hold, or movie? commonsense says",movies often contain scenes with people carrying suitcases of money. the other choices dont make sense,people typically row in a suitcase when they are in a movie
"the electricity went out and everyone was shrouded in darkness. they all remained in their seats, because it would have been dangerous to try to find there way out. where mihgt they have been?, opera, basement, or bedroom? commonsense says",opera the electricity went out and everyone was shrouded in darkness.,basements are usually dark and have darkness
"if a person is using a computer to talk to their granddaughter, what might the computer cause for them?, program created, stress, or happiness? commonsense says",communicating with family results in happiness,"if you are not able to communicate, your brain will fill in."
"in order to learn to program from another person you can do what?, knowledge, take class, or have computer? commonsense says",people take classes to learn to program.,"you can take a class to complete something, not "" teach "" or "" teach ""."
"james needed smooth sandpaper, but instead he got what type?, bumpy, rough, or uneven? commonsense says",having an uneven or irregular surface ; not smooth or level.,the only thing that could be brushed is the sand
"what will you put on a pen to prevent it from drying out?, ink in, caps, or ink cartridges? commonsense says","i would choose caps to be put on a pen to prevent them from drying out, as that is the only logic choice.",the only option to keep a liquid in a pen is to keep it cold.
"where would you get jewelry if you do not have any?, suitcase, department store, or safe deposit box? commonsense says",where would you get jewelry department store,department store is the only place you can get jewelry
"john and joe like planning games but joe was hit by a ball and fell down. what might have happened to joe., injury, anger, or enjoying? commonsense says",joe had injury because he / she felt down,"when you fall down, you will get injured."
"why would a person like to have a large house?, lots of space, mentally challenged, or have choice? commonsense says",lots of space is the only choice that makes sense for why a person would want a large house.,large houses have a lot of room.
"where is there a telephone book in almost every room?, house, at hotel, or library? commonsense says",hotel is the only place likely to have a phone book in every room.,the only place that might have
"john saw a fox running along the beach and was glad to be on the east coast. where might he have been?, south carolina, tennessee, or louisiana? commonsense says","fishing boats. built exclusively for fishing, fishing boats in different sizes are used on both salt and freshwater bodies",louisiana is the only state in the state of the choices.
"james thought of criminal justice like a computer program. it need to work right. what ideas might james not like?, control model, reason exists, or power down? commonsense says",control model is the most logical answer to if james were not to like an idea within his thought.,"the reason people want to control the computer, not just the computer."
"james knew that he shouldn't have been buying beer for minors. he didn't even get paid for it. why was this bad?, lose money, broken law, or have no money? commonsense says",by buying beer for minors james breaks the law.,"he was not paying attention to his drinking, so he was paying attention to it."
"the person wasn't bothered by the weather, she had remembered to bring her what?, warm coat, read book, or more rice? commonsense says","take this quiz to find out what the weather says about your personality!... 6feet deep and 20 below zero didn't bother me.... it is right on i am 62 and as get older i wonder if i also will change like one person said they did... in which my response would have been none of the above, however, the option wasn't available.",a rice bag is the only thing that would be warm and fresher than a warm cloth.
"the football coach spoke proudly of the defensiveness of his what?, defense, defensive, or defence? commonsense says",defenset defensehe football coach spoke proudly of the defensiveness of his what?,a football is a good example of a defense.
"if you have a home with a courtyard, what's one thing you probably don't have to care for any longer?, spain, asshole, or lawn? commonsense says",lawn is an area of soil - covered land planted with grasses,lawn is the only thing that you would have lawns.
"what would you use to find a place to stay?, mexico, phone book, or town? commonsense says",only the phone book can be used as a physical resource,you'll find where you'd be staying
"what does a person with a what likely do?, trust himself, feel important, or know what time? commonsense says",what does a person know what time,something that has a trust is trust.
"how can you stop being dirty if some dirt lands on you but it does not reach your skin?, get clean, clean clothes, or bathe? commonsense says","if your clothes have become soiled, a good way to become clean is to simply change your clothes",dirt doesn't go away with your clothes
"a revolving door is convenient for two direction travel, but it also serves as a security measure at a what?, new york, bank, or mall? commonsense says",two direction travel is fit into the bank only,a bank is a place where money goes to use.
